tf,corr,nz,sum_a,sum_b,mean_a,mean_b,mean_ratio
ZNF350,0.9999999999999999,1959,36.980852964811355,36.980852964811355,0.0021468044215030395,0.0021468044215030395,1.0
ZNF440,0.9999999999999999,1892,55.338124892936364,55.338124892936364,0.003212476773071889,0.003212476773071889,1.0
MBD2,0.9999999999999999,2770,127.40915577592138,127.40915577592138,0.007396328560079031,0.007396328560079031,1.0
ZNF225,0.9999999999999999,3650,22.44456055223425,22.44456055223425,0.0013029467405221323,0.0013029467405221323,1.0
SMAD5,0.9999999999999999,523,21.80622116846232,21.80622116846232,0.0012658900016522883,0.0012658900016522883,1.0
RELA,0.9999999999999999,3571,57.118745141169256,57.118745141169256,0.0033158449518848982,0.0033158449518848982,1.0
MAX,0.9999999999999999,4648,102.906675236807,102.90667523680703,0.005973915896714675,0.005973915896714677,0.9999999999999998
RXRA,0.9999999999999999,6743,194.94873202909912,194.94873202909915,0.011317121329914033,0.011317121329914033,0.9999999999999999
RUNX3,0.9999999999999999,4832,141.0848109666515,141.08481096665153,0.008190224716512916,0.008190224716512918,0.9999999999999998
MAFK,0.9999999999999999,2977,39.6681593421528,39.6681593421528,0.002302807345997492,0.002302807345997492,1.0
MAFF,0.9999999999999999,4053,68.71135038768077,68.71135038768074,0.003988816346666711,0.003988816346666709,1.0000000000000004
NR1H3,0.9999999999999999,3037,48.701822206553295,48.701822206553295,0.0028272275749769704,0.0028272275749769704,1.0
MEF2A,0.9999999999999999,3519,103.03793462798146,103.03793462798146,0.005981535738301489,0.005981535738301489,1.0
ZNF444,0.9999999999999999,6501,68.19413172084207,68.19413172084204,0.003958790881274937,0.003958790881274935,1.0000000000000004
MAF,0.9999999999999999,4556,135.29838431289394,135.29838431289394,0.007854312336752232,0.007854312336752232,1.0
ZNF320,0.9999999999999999,7991,159.7277731574203,159.72777315742033,0.009272481896982486,0.009272481896982487,0.9999999999999998
ZNF324B,0.9999999999999999,3024,49.857891846178724,49.857891846178724,0.002894339477892646,0.002894339477892646,1.0
SNAI1,0.9999999999999999,4739,128.99190875831536,128.99190875831536,0.007488210191473085,0.007488210191473085,1.0
ZNF449,0.9999999999999999,6565,101.47429090915176,101.4742909091517,0.005890763433713675,0.005890763433713671,1.0000000000000007
ZNF562,0.9999999999999999,1402,71.44785339106274,71.44785339106274,0.004147675222980538,0.004147675222980538,1.0
RUNX1,0.9999999999999999,6240,285.0514904071736,285.0514904071736,0.01654774703397037,0.01654774703397037,1.0
ZNF550,0.9999999999999999,2696,33.35616486729148,33.35616486729148,0.0019363848175601697,0.0019363848175601697,1.0
NFATC3,0.9999999999999999,2413,66.14411318872413,66.14411318872413,0.003839783651963551,0.003839783651963551,1.0
TFDP1,0.9999999999999999,4571,250.2474224894762,250.24742248947607,0.014527308863896216,0.014527308863896207,1.0000000000000007
ZNF430,0.9999999999999999,3236,103.832366394997,103.832366394997,0.006027653918204865,0.006027653918204865,1.0
TCFL5,0.9999999999999999,2516,17.84758305776324,17.84758305776324,0.0010360840042820875,0.0010360840042820875,1.0
ZNF433,0.9999999999999999,771,29.098098209470095,29.098098209470095,0.0016891964593910424,0.0016891964593910424,1.0
TEAD3,0.9999999999999999,1649,27.701777776809955,27.701777776809955,0.0016081375697672097,0.0016081375697672097,1.0
TEF,0.9999999999999999,1618,22.278288773928054,22.27828877392805,0.0012932943674636046,0.0012932943674636044,1.0000000000000002
TERF2,0.9999999999999999,588,6.9611031725046075,6.9611031725046075,0.0004041044451703592,0.0004041044451703592,1.0
NRL,0.9999999999999999,1912,36.58609755633195,36.58609755633195,0.002123888166511782,0.002123888166511782,1.0
ZNF484,0.9999999999999999,5075,59.97075611858499,59.97075611858495,0.003481409271948507,0.0034814092719485054,1.0000000000000007
ZNF417,0.9999999999999999,2988,84.65762193701715,84.65762193701717,0.004914525829386808,0.004914525829386809,0.9999999999999998
ZNF30,0.9999999999999999,7123,47.38129097016857,47.38129097016858,0.0027505683832676517,0.002750568383267652,0.9999999999999999
ZNF257,0.9999999999999999,3700,109.42214712968232,109.42214712968236,0.0063521506519030714,0.006352150651903074,0.9999999999999996
MYNN,0.9999999999999999,1092,61.92516981058851,61.92516981058851,0.003594866469905289,0.003594866469905289,1.0
